Rodada,Mandante,Visitante,Data
28,Internacional,Grêmio,20/10
28,Cruzeiro,Bahia,20/10
28,Vitória,Bragantino,20/10
28,Flamengo,Fluminense,20/10
28,Botafogo,Criciúma,20/10
28,Corinthians,Athletico-PR,20/10
28,São Paulo,Vasco,20/10
28,Fortaleza,Atlético-MG,20/10
28,Atlético-GO,Cuiabá,20/10
28,Juventude,Palmeiras,20/10
29,Grêmio,Atlético-GO,26/10
29,Atlético-MG,Internacional,26/10
29,Vitória,Fluminense,26/10
29,Flamengo,Juventude,26/10
29,Vasco,Bahia,26/10
29,Palmeiras,Fortaleza,26/10
29,Bragantino,Botafogo,26/10
29,Athletico-PR,Cruzeiro,26/10
29,Cuiabá,Corinthians,26/10
29,Criciúma,São Paulo,26/10
30,Internacional,Criciúma,06/11
30,Cruzeiro,Flamengo,06/11
30,Bahia,São Paulo,06/11
30,Fluminense,Grêmio,06/11
30,Botafogo,Vasco,06/11
30,Corinthians,Palmeiras,06/11
30,Bragantino,Cuiabá,06/11
30,Athletico-PR,Vitória,06/11
30,Atlético-GO,Atlético-MG,06/11
30,Juventude,Fortaleza,06/11
31,Internacional,Fluminense,13/11
31,Cruzeiro,Criciúma,13/11
31,Vitória,Corinthians,13/11
31,Flamengo,Atlético-MG,13/11
31,Botafogo,Cuiabá,13/11
31,Palmeiras,Grêmio,13/11
31,São Paulo,Athletico-PR,13/11
31,Fortaleza,Vasco,13/11
31,Atlético-GO,Bragantino,13/11
31,Juventude,Bahia,13/11
32,Grêmio,Juventude,20/11
32,Atlético-MG,Botafogo,20/11
32,Bahia,Palmeiras,20/11
32,Fluminense,Fortaleza,20/11
32,Vasco,Internacional,20/11
32,Corinthians,Cruzeiro,20/11
32,Bragantino,São Paulo,20/11
32,Athletico-PR,Atlético-GO,20/11
32,Cuiabá,Flamengo,20/11
32,Criciúma,Vitória,20/11
33,Internacional,Bragantino,24/11
33,Cruzeiro,Grêmio,24/11
33,Bahia,Athletico-PR,24/11
33,Fluminense,Criciúma,24/11
33,Botafogo,Vitória,24/11
33,Corinthians,Vasco,24/11
33,São Paulo,Atlético-MG,24/11
33,Fortaleza,Flamengo,24/11
33,Atlético-GO,Palmeiras,24/11
33,Juventude,Cuiabá,24/11
34,Grêmio,São Paulo,01/12
34,Atlético-MG,Juventude,01/12
34,Vitória,Fortaleza,01/12
34,Flamengo,Internacional,01/12
34,Vasco,Atlético-GO,01/12
34,Palmeiras,Botafogo,01/12
34,Bragantino,Cruzeiro,01/12
34,Athletico-PR,Fluminense,01/12
34,Cuiabá,Bahia,01/12
34,Criciúma,Corinthians,01/12
35,Internacional,Botafogo,04/12
35,Cruzeiro,Palmeiras,04/12
35,Vitória,Grêmio,04/12
35,Fluminense,Cuiabá,04/12
35,Vasco,Atlético-MG,04/12
35,Corinthians,Bahia,04/12
35,São Paulo,Juventude,04/12
35,Athletico-PR,Bragantino,04/12
35,Atlético-GO,Fortaleza,04/12
35,Criciúma,Flamengo,04/12
36,Grêmio,Corinthians,08/12
36,Atlético-MG,Athletico-PR,08/12
36,Bahia,Atlético-GO,08/12
36,Flamengo,Vitória,08/12
36,Botafogo,São Paulo,08/12
36,Palmeiras,Fluminense,08/12
36,Bragantino,Criciúma,08/12
36,Fortaleza,Internacional,08/12
36,Cuiabá,Vasco,08/12
36,Juventude,Cruzeiro,08/12
